FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TEL_NO,WORKDAY_OPER_TIME_DC,WKEND_OPER_TIME_DC,FRE_PARKNG_AT,VALET_PARKNG_POSBL_AT,INFN_CHAIR_LEND_POSBL_AT,WCHAIR_HOLD_AT,PET_POSBL_AT,VGTR_MENU_HOLD_AT,HALAL_FOOD_HOLD_AT,GFRE_FOOD_HOLD_AT,LAST_UPDT_DE
작은이태리식당,음식점/유흥시설,동남아시아음식,인도,경상북도,문경시,문경읍,하리,357-4 번지,온천4길,13,36.732374,128.110247,36917,경상북도 문경시 온천4길 13,경상북도 문경시 문경읍 하리 357-4,050713798884,화-금 11시30분-21시,토 11시30분-21시,N,N,N,N,N,N,N,N,20221130
작은인디아,음식점/유흥시설,인도아시아음식,인도,서울특별시,종로구,인사동,,183 번지,인사동길,27,37.57311,126.986009,03149,서울특별시 종로구 인사동길 27,서울특별시 종로구 인사동  183,027305528,월-금 10시30분-23시20분,토-일 10시30분-23시20분,N,N,N,N,N,N,N,N,20221130
잔상,음식점/유흥시설,유럽음식,기타,서울특별시,마포구,연남동,,390-39 번지,동교로38길,33-10,37.561566,126.926158,03982,서울특별시 마포구 동교로38길 33-10,서울특별시 마포구 연남동  390-39,050713875457,"월-수,금 17시-24시",토-일 16시-24시,N,N,N,N,N,N,N,N,20221130
잠잠커페,음식점/유흥시설,동남아시아음식,기타,경기도,평택시,포승읍,도곡리,1141-9 번지,여술4길,8,36.988959,126.84508,17955,경기도 평택시 여술4길 8,경기도 평택시 포승읍 도곡리 1141-9,,,,Y,N,N,N,N,N,N,N,20221130
장강,음식점/유흥시설,동아시아음식,중국,경기도,안양시 동안구,비산동,,1031-8 번지,평촌대로,376,37.404286,126.949881,13935,경기도 안양시 동안구 평촌대로 376,경기도 안양시 동안구 비산동 1031-8,0313866295,월-금 11시-21시,토-일 11시-21시,N,N,N,N,N,N,N,N,20221130
장발장의 빵,음식점/유흥시설,유럽음식,이탈리아,대구광역시,수성구,두산동,,175-5 번지,무학로,89,35.830149,128.618322,42174,대구광역시 수성구 무학로 89,대구광역시 수성구 두산동  175-5,,월-금 11시-24시,토-일 11시-24시,Y,N,N,N,N,N,N,N,20221130
장사이야기포,음식점/유흥시설,동남아시아음식,인도,경상북도,포항시 북구,양덕동,,1501 번지,장량로158번길,5-4,36.08101,129.397958,37593,경상북도 포항시 북구 장량로158번길 5-4,경상북도 포항시 북구 양덕동  1501,050713458080,화-금 11시-20시50분,토-일 11시-20시50분,N,N,N,N,N,N,N,N,20221130
장쉐프아시안푸드,음식점/유흥시설,동남아시아음식,인도,대구광역시,수성구,황금동,,706-47 번지,청솔로8길,25,35.849902,128.621984,42141,대구광역시 수성구 청솔로8길 25,대구광역시 수성구 황금동  706-47,,,,N,N,N,N,N,N,N,N,20221130
장어명가,음식점/유흥시설,동아시아음식,일본,경기도,부천시,심곡동,,442-18 번지,신흥로118번길,18,37.493709,126.77923,14629,경기도 부천시 신흥로118번길 18,경기도 부천시 심곡동 442-18,0326646190,월-금 10시30분-21시30분,토-일 10시30분-21시30분,N,N,N,N,N,N,N,N,20221130
장우동남문점,음식점/유흥시설,동아시아음식,일본,경기도,수원시 팔달구,영동,,5-21 번지,팔달문로4번길,1,37.277476,127.017773,16262,경기도 수원시 팔달구 팔달문로4번길 1,경기도 수원시 팔달구 영동 5-21,0312584880,월-금 10시-20시30분,토-일 10시-20시30분,N,N,N,N,N,N,N,N,20221130
장터SOI,음식점/유흥시설,동남아시아음식,태국,경상남도,김해시,내동,,1093-6 번지,경원로11번길,11-3,35.239444,128.862774,50950,경상남도 김해시 경원로11번길 11-3,경상남도 김해시 내동  1093-6,050714681999,월-금 10시-22시,토-일 10시-22시,N,N,N,N,N,N,N,N,20221130
장홍규중화요리,음식점/유흥시설,동아시아음식,중국,경기도,성남시 분당구,수내동,,4-3 번지,수내로,42,37.380931,127.116863,13595,경기도 성남시 분당구 수내로 42,경기도 성남시 분당구 수내동 4-3 두산위브센티움2,0317024013,월-금 11시-21시,토-일 11시-21시,Y,N,N,N,N,N,N,N,20221130
잭스타코스,음식점/유흥시설,남미음식,인도,경기도,김포시,구래동,,6886-6 번지,김포한강4로,487,37.646383,126.62951,10066,경기도 김포시 김포한강4로 487,경기도 김포시 구래동  6886-6,050713100414,월-금 12시-22시,휴무,N,N,N,N,N,N,N,N,20221130
쟈스민,음식점/유흥시설,동남아시아음식,베트남 아시아,경기도,수원시 장안구,율전동,,288 번지,화산로213번길,9-3,37.299228,126.973068,16417,경기도 수원시 장안구 화산로213번길 9-3,경기도 수원시 장안구 율전동 288 산이슬교회,0312789886,,,N,N,N,N,N,N,N,N,20221130
